Date,SO2,CO,PM_10,NO2
11/14/1993,3.823624333,0.5883736,15,5.4440478
11/15/1993,4.369638974,0.942385333,19.8125,10.5328948
11/16/1993,3.65100955,0.9103794,24,9.2721428
11/17/1993,4.87814915,0.9847149,24,11.6825758
11/18/1993,8.13688095,1.061853333,30,15.0264166
11/19/1993,2.94788431,1.310965667,26,17.1174244
11/20/1993,4.659814048,1.135416667,21,8.85
11/21/1993,5.84529731,0.687326267,20.16666667,10.939394
11/22/1993,4.388463143,0.869461033,30,18.0845238
11/23/1993,3.735827667,0.8013607,33,15.4977274
11/24/1993,4.63967431,0.939800733,28,16.6749998
11/25/1993,3.167106643,0.721338367,22,12.080303
11/26/1993,3.116544667,0.7747222,20,7.7333332
11/27/1993,6.747606095,0.721025067,14.42857143,6.5714286
11/28/1993,2.139535619,0.7592044,18,16.6083334
11/29/1993,3.765885381,1.3541642,31,29.7140474
11/30/1993,5.226192167,1.136139567,32,25.4065624
12/1/1993,2.933564929,0.808046933,33,16.5500002
12/2/1993,3.203563619,0.853470033,32,13.0051948
12/3/1993,3.34357681,1.0200126,28.26470588,13.9196968
12/4/1993,2.912360714,0.648194467,16,6.4440476
12/5/1993,5.100069238,0.669486233,39,11.0333332
12/6/1993,4.618389214,1.202324867,21.59863416,17.4283334
12/7/1993,3.440995167,1.148766767,30,19.8644596
12/8/1993,9.112431929,1.194628967,48,25.8790514
12/9/1993,4.416630119,1.431174233,38.45714286,26.8228354
12/10/1993,2.480858762,1.2519444,43,15.9700002
12/11/1993,6.804229762,0.508194433,17,5.8166668
12/12/1993,7.72616519,0.659731467,17,11.425
12/13/1993,5.02792381,1.148586967,28,16.6416666
12/14/1993,2.049917643,0.685172533,29,7.227251
12/15/1993,4.779526405,0.5986399,21.17142857,6.7025972
12/16/1993,5.29589075,0.855104143,20,10.5693434
12/17/1993,8.685541762,1.130078759,32,18.0816666
12/18/1993,5.194898452,1.068140067,28,16.1416666
12/19/1993,4.240365738,1.0636111,27,13.4845238
12/20/1993,3.239841143,1.034529,30,10.8821432
12/21/1993,5.93483769,0.7292044,17.45714286,8.4916666
12/22/1993,8.631968452,1.114901067,29,15.7166666
12/23/1993,5.148122381,0.776684667,18,10.3601656
12/24/1993,4.150348167,0.900961462,17,10.53125
12/25/1993,3.654926405,0.701442269,13,10.53125
12/26/1993,2.873202595,0.976760577,15,15.64221
12/27/1993,6.217297333,1.393088115,22.91666667,20.3137255
12/28/1993,4.250134357,1.207590633,25,20.8515152
12/29/1993,5.317009262,1.334306633,30,14.7666666
12/30/1993,7.453063537,0.8790119,25,11.4613636
12/31/1993,4.571628525,0.961177929,26,17.1333334
1/1/1994,3.74206022,1.002223138,23,16
1/2/1994,4.048400195,0.867394621,17.88571429,11.258333
1/3/1994,1.98170185,0.784688552,23,8.2797618
1/4/1994,4.29487331,0.674718034,30,8.584006
1/5/1994,5.636394738,0.933102571,24,13.5492424
1/6/1994,2.993534415,1.200544296,21.59863416,14.5489176
1/7/1994,4.10697855,1.236458357,31,12.6931818
1/8/1994,4.221327,0.702173964,15,8.6872548
1/9/1994,5.44934535,0.686531214,17,10.592262
1/10/1994,3.066589333,0.75474025,27,12.0749998
1/11/1994,4.104062667,0.751393037,21.59863416,13.4833332
1/12/1994,2.188315048,0.735988423,17,10.9551516
1/13/1994,2.110326667,0.837708115,17,11.677273
1/14/1994,4.527682286,0.851492692,19.47222222,13.6666666
1/15/1994,2.608741262,0.975892893,20,13.575
1/16/1994,5.818866643,0.6248145,17,10.9952382
1/17/1994,3.570483381,0.70758925,27,6.20833325
1/18/1994,4.39568281,0.727415679,22,7.291667
1/19/1994,6.37914019,0.75423625,21,15.455238
1/20/1994,4.3370405,0.846773321,26.63888889,16.66818175
1/21/1994,5.849761275,0.814896885,27,14.14285725
1/22/1994,6.311113425,0.835576923,28,19.81250025
1/23/1994,6.586413775,0.836095769,19,24.7583334
1/24/1994,7.973094095,1.002337893,28,26.0869046
1/25/1994,7.160301714,1.033702071,27,19.2178572
1/26/1994,4.559214476,1.131024,25.75,18.5427488
1/27/1994,2.073064548,0.777148393,21,9.2158762
1/28/1994,2.184006857,0.601785714,23,8.45
1/29/1994,2.819262714,0.5473215,36,6.4833332
1/30/1994,3.998489833,0.497668607,21,6.5904762
1/31/1994,6.630103381,0.780277321,14,10.499892
2/1/1994,7.812157524,0.881326536,21.02857143,14.079524
2/2/1994,5.920272381,0.929163893,22,17.3718614
2/3/1994,6.860645098,1.034463133,27,24.131212
2/4/1994,6.170917357,1.107042467,28,24.9500002
2/5/1994,1.792448667,0.938055567,25,13.5166666
2/6/1994,1.824958952,0.7022645,16,15.5000002
