#title = mean sea level anomaly Gulf of Mexico (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (https://www.star.nesdis.noaa.gov/socd/lsa/RADS.php) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 4.68 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3,Sentinel-6MF
2005.41990,,40.26000,,,
2005.44620,54.50000,,,,
2005.44670,,45.53000,,,
2005.47390,,46.14000,,,
2005.47410,50.22000,,,,
2005.50110,29.41000,35.96000,,,
2005.52690,59.56000,,,,
2005.52840,,55.01000,,,
2005.55510,,54.44000,,,
2005.55570,57.20000,,,,
2005.58150,11.89000,,,,
2005.58260,,-4.26000,,,
2005.61010,,-29.40000,,,
2005.61020,-3.47000,,,,
2005.63620,,-13.72000,,,
2005.63690,8.73000,,,,
2005.66320,20.12000,,,,
2005.66390,,-1.87000,,,
2005.69120,,17.00000,,,
2005.69200,38.59000,,,,
2005.71280,,14.50000,,,
2005.71720,33.62000,,,,
2005.74550,60.08000,,,,
2005.75100,,38.60000,,,
2005.77250,,32.56000,,,
2005.79950,,5.13000,,,
2005.82700,,19.46000,,,
2005.85390,,14.44000,,,
2005.88100,,-7.76000,,,
2005.90820,,-11.98000,,,
2005.93540,,16.03000,,,
2005.96270,,14.16000,,,
2005.98930,,-4.61000,,,
2006.01710,,-13.66000,,,
2006.04390,,-8.07000,,,
2006.07110,,8.53000,,,
2006.09810,,22.17000,,,
2006.12540,,3.20000,,,
2006.15240,,16.92000,,,
2006.17990,,25.37000,,,
2006.20700,,26.26000,,,
2006.23410,,17.71000,,,
2006.26110,,14.87000,,,
2006.28810,,8.47000,,,
2006.31530,,-5.30000,,,
2006.34250,,10.04000,,,
2006.36960,,12.56000,,,
2006.39690,,8.62000,,,
