Date,pm10,CO,SO2,NO2
6/29/1993,22,0.806329633,5.019280722,13.107492
6/30/1993,39.66197183,0.905550417,5.445694061,16.71455141
7/1/1993,29,0.978661433,3.978650829,17.23121488
7/2/1993,20,1.0090936,3.377896549,15.40527659
7/3/1993,26,1.135655117,3.680755512,12.67618288
7/4/1993,53,0.807340017,4.011634573,10.34316906
7/5/1993,43,0.730996367,3.980189902,10.56583547
7/6/1993,39.29166667,0.768617183,3.049513476,10.49197624
7/7/1993,41,0.8007169,4.752968475,13.71775976
7/8/1993,39,0.912111633,6.332816125,15.86542535
7/9/1993,27.5,0.821929237,6.584292718,15.37677953
7/10/1993,41,0.738227793,6.236893808,13.06174347
7/11/1993,39,0.724796914,4.531844987,11.42309247
7/12/1993,29.08571429,0.8141565,5.61413295,16.87965594
7/13/1993,27,0.785855617,4.667336817,15.45692165
7/14/1993,24,0.943771133,4.541313134,16.58432576
7/15/1993,24.5,0.759172567,5.146454524,11.89465341
7/16/1993,33,0.735006355,4.457473146,13.72248529
7/17/1993,35,0.756685678,4.269088375,11.81373612
7/18/1993,25.48571429,0.695139879,4.14038995,10.46877359
7/19/1993,19.12189804,0.797415833,3.973423728,12.69769818
7/20/1993,19.12189804,0.857200677,4.649685232,14.55462553
7/21/1993,31.66666667,0.821462726,4.433549012,14.08589175
7/22/1993,55,0.780418629,4.265964732,13.19690269
7/23/1993,35,0.932827016,4.470572427,18.09401638
7/24/1993,26.625,0.884671565,5.275576439,14.17852131
7/25/1993,19.12189804,0.641181597,4.534223939,9.67202225
7/26/1993,19.12189804,0.640275226,3.684716725,9.410569588
7/27/1993,23,0.843998355,4.315619513,12.46308118
7/28/1993,34,0.973401855,6.250837525,17.84884859
7/29/1993,44,0.940340677,4.631137378,15.94644176
7/30/1993,26.81944444,0.907906935,6.829946538,16.36552135
7/31/1993,36,0.85057365,5.4381403,12.81035871
8/1/1993,30,0.907777733,5.890936112,12.61898976
8/2/1993,38.5,0.814613032,7.062678737,15.67654582
8/3/1993,41.66666667,0.762447984,7.148308588,13.94456582
8/4/1993,32,0.726019806,8.292955288,14.06104912
8/5/1993,47.30985915,0.706873565,5.858805066,12.75259165
8/6/1993,44,0.806779161,5.343126184,14.59498076
8/7/1993,39,0.692810082,4.041181595,9.399648294
8/8/1993,25,0.661588183,4.832962703,10.70654306
8/9/1993,42,0.781898383,4.610667919,12.21452047
8/10/1993,22,0.69831775,4.241318635,9.773252063
8/11/1993,19.57746479,0.840183833,4.348272081,11.130506
8/12/1993,27,0.983453183,4.709336541,11.21025441
8/13/1993,33,1.0210222,5.249924892,14.31841806
8/14/1993,30,1.061668339,5.580307971,14.93757465
8/15/1993,27.5,0.843218536,4.552028257,10.98127665
8/16/1993,37,0.910431283,5.160499311,12.69986929
